代码,名称,当前价,评分,信号数量,信号列表,详情
603017,中衡设计,9.8,12,5,"['地量', '均线粘合', '形态收敛', '低点抬高', '低位']","['地量(均量22%)', '均线粘合(离散度1.79%)']"
603393,新天然气,25.08,12,5,"['地量', '均线粘合', '形态收敛', '低点抬高', '低位']","['筹码集中度55%', '地量(均量31%)', '均线粘合(离散度2.39%)']"
000543,皖能电力,7.35,12,5,"['地量', '均线粘合', '形态收敛', '低点抬高', '低位']","['筹码集中度62%', '地量(均量31%)', '均线粘合(离散度0.83%)']"
000927,中国铁物,2.48,12,5,"['地量', '均线粘合', '形态收敛', '低点抬高', '低位']","['筹码集中度50%', '地量(均量30%)', '均线粘合(离散度0.96%)']"
002263,大东南,3.22,12,5,"['地量', '均线粘合', '形态收敛', '低点抬高', '低位']","['地量(均量26%)', '均线粘合(离散度2.42%)']"
300603,立昂技术,8.04,12,5,"['地量', '均线粘合', '形态收敛', '低点抬高', '低位']","['地量(均量31%)', '均线粘合(离散度1.40%)']"
301168,通灵股份,40.43,12,5,"['地量', '均线粘合', '形态收敛', '低点抬高', '低位']","['筹码集中度76%', '地量(均量28%)', '均线粘合(离散度1.11%)']"
600968,海油发展,3.95,11,4,"['地量', '均线粘合', '形态收敛', '低点抬高']","['筹码集中度88%', '地量(均量38%)', '均线粘合(离散度1.82%)']"
603010,万盛股份,12.29,11,5,"['地量', '均线粘合', '形态收敛', '低点抬高', '低位']","['地量(均量50%)', '均线粘合(离散度1.80%)']"
688084,晶品特装,43.4,11,5,"['地量', '均线粘合', '形态收敛', '低点抬高', '低位']","['地量(均量53%)', '均线粘合(离散度1.30%)']"
688400,凌云光,47.29,11,5,"['地量', '均线粘合', '形态收敛', '低点抬高', '低位']","['地量(均量50%)', '均线粘合(离散度2.65%)']"
688667,菱电电控,98.59,11,5,"['地量', '均线粘合', '形态收敛', '低点抬高', '低位']","['地量(均量59%)', '均线粘合(离散度1.65%)']"
