代码,名称,当前价,评分,信号数量,信号列表,详情
002034,旺能环境,14.38,11,5,"['地量', '均线粘合', '形态收敛', '低点抬高', '低位']","['地量(均量32%)', '均线粘合(离散度0.36%)']"
002202,金风科技,18.2,11,5,"['地量', '均线粘合', '形态收敛', '低点抬高', '低位']","['地量(均量43%)', '均线粘合(离散度2.74%)']"
003019,宸展光电,27.54,11,5,"['地量', '均线粘合', '形态收敛', '低点抬高', '低位']","['地量(均量42%)', '均线粘合(离散度2.71%)']"
300828,锐新科技,16.93,11,5,"['地量', '均线粘合', '形态收敛', '低点抬高', '低位']","['地量(均量44%)', '均线粘合(离散度1.66%)']"
300834,星辉环材,39.94,11,4,"['地量', '均线粘合', '形态收敛', '低点抬高']","['筹码集中度55%', '地量(均量20%)', '均线粘合(离散度0.68%)']"
300932,三友联众,10.85,11,4,"['地量', '均线粘合', '形态收敛', '低点抬高']","['筹码集中度65%', '地量(均量35%)', '均线粘合(离散度2.87%)']"
399622,深证公用事业行业指数,1717.01,11,5,"['地量', '均线粘合', '形态收敛', '低点抬高', '低位']","['筹码集中度40%', '地量(均量44%)', '均线粘合(离散度0.22%)']"
399689,深成公用事业行业指数,861.38,11,5,"['地量', '均线粘合', '形态收敛', '低点抬高', '低位']","['筹码集中度40%', '地量(均量45%)', '均线粘合(离散度0.22%)']"
600021,上海电力,13.39,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量28%)', '均线粘合(离散度1.86%)']"
600036,招商银行,40.59,10,4,"['地量', '均线粘合', '形态收敛', '低点抬高']","['筹码集中度83%', '地量(均量57%)', '均线粘合(离散度2.15%)']"
600078,澄星股份,10.26,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量20%)', '均线粘合(离散度2.28%)']"
600085,同仁堂,23.22,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度60%', '地量(均量34%)', '均线粘合(离散度1.79%)']"
600125,铁龙物流,5.28,10,5,"['地量', '均线粘合', '形态收敛', '低点抬高', '低位']","['筹码集中度54%', '地量(均量45%)', '均线粘合(离散度0.77%)']"
600131,国网信通,14.3,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度42%', '地量(均量28%)', '均线粘合(离散度1.47%)']"
600152,维科技术,7.99,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量16%)', '均线粘合(离散度0.72%)']"
600158,中体产业,7.06,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量25%)', '均线粘合(离散度1.46%)']"
600201,生物股份,11.73,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度52%', '地量(均量36%)', '均线粘合(离散度2.14%)']"
600236,桂冠电力,9.74,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度62%', '地量(均量31%)', '均线粘合(离散度1.44%)']"
600241,时代万恒,7.15,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度51%', '地量(均量35%)', '均线粘合(离散度1.93%)']"
600268,国电南自,10.38,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量31%)', '均线粘合(离散度1.75%)']"
600382,广东明珠,6.21,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量37%)', '均线粘合(离散度1.13%)']"
600392,盛和资源,21.54,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量32%)', '均线粘合(离散度2.72%)']"
600422,昆药集团,8.14,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度63%', '地量(均量29%)', '均线粘合(离散度1.85%)']"
600436,片仔癀,118.31,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度49%', '地量(均量36%)', '均线粘合(离散度2.68%)']"
600481,双良节能,4.15,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量29%)', '均线粘合(离散度1.29%)']"
600509,天富能源,7.26,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量26%)', '均线粘合(离散度1.69%)']"
600528,中铁工业,6.84,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度46%', '地量(均量23%)', '均线粘合(离散度0.56%)']"
600538,国发股份,4.9,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量33%)', '均线粘合(离散度1.64%)']"
600550,保变电气,10.88,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量32%)', '均线粘合(离散度1.57%)']"
600578,京能电力,5.37,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量33%)', '均线粘合(离散度1.97%)']"
600586,金晶科技,4.06,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量29%)', '均线粘合(离散度0.85%)']"
600589,大位科技,7.82,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量30%)', '均线粘合(离散度1.45%)']"
600635,大众公用,4.52,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度48%', '地量(均量33%)', '均线粘合(离散度1.16%)']"
600642,申能股份,8.67,10,5,"['地量', '均线粘合', '形态收敛', '低点抬高', '低位']","['筹码集中度91%', '地量(均量49%)', '均线粘合(离散度0.79%)']"
600676,久事动娱,6.74,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度68%', '地量(均量33%)', '均线粘合(离散度0.29%)']"
600731,湖南海利,5.77,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度67%', '地量(均量37%)', '均线粘合(离散度1.39%)']"
600756,浪潮软件,13.72,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量27%)', '均线粘合(离散度1.92%)']"
600768,富邦新材,14.35,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量36%)', '均线粘合(离散度1.49%)']"
600775,南京熊猫,9.73,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度53%', '地量(均量39%)', '均线粘合(离散度0.91%)']"
600797,浙大网新,6.61,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度44%', '地量(均量28%)', '均线粘合(离散度1.14%)']"
600821,金开新能,6.16,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量33%)', '均线粘合(离散度0.75%)']"
600853,龙建股份,3.26,10,5,"['地量', '均线粘合', '形态收敛', '低点抬高', '低位']","['筹码集中度56%', '地量(均量57%)', '均线粘合(离散度1.48%)']"
600863,华能蒙电,4.73,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度63%', '地量(均量39%)', '均线粘合(离散度0.67%)']"
600873,梅花生物,7.53,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度45%', '地量(均量38%)', '均线粘合(离散度1.52%)']"
600905,三峡能源,3.65,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量30%)', '均线粘合(离散度0.93%)']"
600955,维远股份,12.4,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量28%)', '均线粘合(离散度1.93%)']"
600956,新天绿能,7.21,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量29%)', '均线粘合(离散度1.09%)']"
600973,宝胜股份,6.11,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度42%', '地量(均量39%)', '均线粘合(离散度0.46%)']"
600986,浙文互联,7.1,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量26%)', '均线粘合(离散度1.06%)']"
600992,贵绳股份,9.61,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度44%', '地量(均量31%)', '均线粘合(离散度1.13%)']"
600995,南网储能,12.32,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度43%', '地量(均量31%)', '均线粘合(离散度0.43%)']"
601016,节能风电,3.43,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量31%)', '均线粘合(离散度1.21%)']"
601096,宏盛华源,4.11,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度45%', '地量(均量33%)', '均线粘合(离散度0.89%)']"
601107,四川成渝,5.95,10,4,"['地量', '均线粘合', '形态收敛', '低点抬高']","['筹码集中度85%', '地量(均量59%)', '均线粘合(离散度2.32%)']"
601177,杭齿前进,13.59,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度53%', '地量(均量38%)', '均线粘合(离散度1.40%)']"
601226,华电科工,6.57,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度44%', '地量(均量37%)', '均线粘合(离散度2.01%)']"
601611,中国核建,10.42,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度45%', '地量(均量30%)', '均线粘合(离散度1.12%)']"
601619,嘉泽新能,4.11,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量40%)', '均线粘合(离散度1.86%)']"
601669,中国电建,4.61,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度44%', '地量(均量29%)', '均线粘合(离散度0.95%)']"
601702,华峰铝业,15.07,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度47%', '地量(均量25%)', '均线粘合(离散度1.26%)']"
601778,晶科科技,3.55,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量27%)', '均线粘合(离散度1.65%)']"
601789,宁波建工,4.14,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量18%)', '均线粘合(离散度1.04%)']"
601808,中海油服,12.15,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度64%', '地量(均量30%)', '均线粘合(离散度1.39%)']"
601857,中国石油,10.56,10,4,"['地量', '均线粘合', '形态收敛', '低点抬高']","['筹码集中度79%', '地量(均量51%)', '均线粘合(离散度2.00%)']"
601908,京运通,2.97,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量34%)', '均线粘合(离散度0.62%)']"
603031,安孚科技,42.69,10,4,"['地量', '均线粘合', '形态收敛', '低点抬高']","['地量(均量46%)', '均线粘合(离散度1.68%)']"
603032,德新科技,18.83,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量24%)', '均线粘合(离散度2.47%)']"
603050,科林电气,18.09,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度45%', '地量(均量36%)', '均线粘合(离散度0.97%)']"
603070,万控智造,11.48,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量23%)', '均线粘合(离散度0.85%)']"
603158,腾龙股份,10.41,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量34%)', '均线粘合(离散度1.49%)']"
603169,兰石重装,6.2,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量34%)', '均线粘合(离散度1.41%)']"
603181,皇马科技,12.37,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量35%)', '均线粘合(离散度2.78%)']"
603194,中力股份,33.5,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度81%', '地量(均量27%)', '均线粘合(离散度0.59%)']"
603206,嘉环科技,13.57,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量29%)', '均线粘合(离散度1.09%)']"
603212,赛伍技术,11.82,10,4,"['地量', '均线粘合', '形态收敛', '低点抬高']","['地量(均量51%)', '均线粘合(离散度0.80%)']"
603220,中贝通信,18.26,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量38%)', '均线粘合(离散度1.97%)']"
603227,雪峰科技,7.47,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量26%)', '均线粘合(离散度1.07%)']"
603275,众辰科技,36.49,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量30%)', '均线粘合(离散度0.65%)']"
603278,大业股份,9.08,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量20%)', '均线粘合(离散度1.32%)']"
603300,海南华铁,4.64,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度48%', '地量(均量37%)', '均线粘合(离散度1.29%)']"
603301,振德医疗,81.97,10,5,"['地量', '均线粘合', '形态收敛', '低点抬高', '低位']","['筹码集中度72%', '地量(均量50%)', '均线粘合(离散度1.41%)']"
603337,杰克科技,36.67,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度61%', '地量(均量35%)', '均线粘合(离散度2.94%)']"
603350,安乃达,27.68,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量34%)', '均线粘合(离散度1.12%)']"
603488,展鹏科技,7.99,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量39%)', '均线粘合(离散度1.72%)']"
603500,祥和实业,9.18,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量34%)', '均线粘合(离散度1.15%)']"
603508,思维列控,21.02,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度56%', '地量(均量34%)', '均线粘合(离散度1.55%)']"
603520,司太立,8.4,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量26%)', '均线粘合(离散度2.85%)']"
603527,众源新材,9.91,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量39%)', '均线粘合(离散度0.63%)']"
603529,爱玛科技,21.43,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度69%', '地量(均量30%)', '均线粘合(离散度1.07%)']"
603588,高能环境,16.14,10,4,"['地量', '均线粘合', '形态收敛', '低点抬高']","['筹码集中度44%', '地量(均量54%)', '均线粘合(离散度2.37%)']"
603713,密尔克卫,65.07,10,4,"['地量', '均线粘合', '形态收敛', '低点抬高']","['筹码集中度44%', '地量(均量42%)', '均线粘合(离散度1.30%)']"
603777,来伊份,13.18,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量34%)', '均线粘合(离散度2.36%)']"
603787,新日股份,10.06,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度45%', '地量(均量32%)', '均线粘合(离散度1.31%)']"
603788,宁波高发,13.57,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量28%)', '均线粘合(离散度0.71%)']"
603803,瑞斯康达,11.75,10,4,"['地量', '均线粘合', '形态收敛', '低点抬高']","['地量(均量45%)', '均线粘合(离散度2.59%)']"
603815,交建股份,5.19,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量26%)', '均线粘合(离散度2.15%)']"
603856,东宏股份,11.42,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度61%', '地量(均量26%)', '均线粘合(离散度1.23%)']"
603861,白云电器,11.21,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量30%)', '均线粘合(离散度2.93%)']"
603881,数据港,24.18,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量36%)', '均线粘合(离散度2.27%)']"
603895,天永智能,25.66,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量39%)', '均线粘合(离散度1.35%)']"
603933,睿能科技,19.42,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量38%)', '均线粘合(离散度1.64%)']"
603937,丽岛新材,11.57,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量30%)', '均线粘合(离散度0.89%)']"
603939,益丰药房,22.78,10,4,"['地量', '均线粘合', '形态收敛', '低点抬高']","['筹码集中度75%', '地量(均量54%)', '均线粘合(离散度1.09%)']"
603949,雪龙集团,13.87,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量26%)', '均线粘合(离散度2.27%)']"
603968,醋化股份,10.31,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量36%)', '均线粘合(离散度2.60%)']"
603977,国泰集团,11.35,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量21%)', '均线粘合(离散度2.36%)']"
603985,恒润股份,17.0,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量33%)', '均线粘合(离散度2.28%)']"
605050,福然德,10.16,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度45%', '地量(均量27%)', '均线粘合(离散度1.05%)']"
605090,九丰能源,32.67,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量26%)', '均线粘合(离散度2.33%)']"
605268,王力安防,9.63,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度41%', '地量(均量29%)', '均线粘合(离散度1.44%)']"
605287,德才股份,35.7,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量26%)', '均线粘合(离散度2.59%)']"
688128,中国电研,21.94,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度43%', '地量(均量35%)', '均线粘合(离散度0.66%)']"
688186,广大特材,14.12,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量27%)', '均线粘合(离散度0.71%)']"
688280,精进电动,5.01,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量31%)', '均线粘合(离散度2.21%)']"
688303,大全能源,16.34,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量40%)', '均线粘合(离散度2.20%)']"
688314,康拓医疗,30.21,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量32%)', '均线粘合(离散度2.53%)']"
688350,富淼科技,27.44,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度41%', '地量(均量29%)', '均线粘合(离散度1.77%)']"
688358,祥生医疗,27.77,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度48%', '地量(均量35%)', '均线粘合(离散度2.72%)']"
688479,友车科技,34.4,10,4,"['地量', '均线粘合', '形态收敛', '低点抬高']","['筹码集中度45%', '地量(均量44%)', '均线粘合(离散度1.84%)']"
688509,正元地信,4.1,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度43%', '地量(均量35%)', '均线粘合(离散度1.02%)']"
688663,新风光,56.2,10,4,"['地量', '均线粘合', '形态收敛', '低点抬高']","['筹码集中度47%', '地量(均量40%)', '均线粘合(离散度0.85%)']"
688680,海优新材,34.0,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量40%)', '均线粘合(离散度2.92%)']"
688707,振华新材,10.25,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量23%)', '均线粘合(离散度1.78%)']"
688750,金天钛业,14.16,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量39%)', '均线粘合(离散度1.33%)']"
688768,容知日新,41.15,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度46%', '地量(均量19%)', '均线粘合(离散度2.25%)']"
688779,五矿新能,7.74,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度46%', '地量(均量28%)', '均线粘合(离散度0.86%)']"
000155,川能动力,11.8,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量28%)', '均线粘合(离散度0.95%)']"
000537,绿发电力,7.53,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量29%)', '均线粘合(离散度0.35%)']"
000541,佛山照明,4.91,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度78%', '地量(均量33%)', '均线粘合(离散度0.69%)']"
000546,金圆股份,4.49,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量19%)', '均线粘合(离散度1.47%)']"
000601,韶能股份,6.27,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度49%', '地量(均量30%)', '均线粘合(离散度0.79%)']"
000631,顺发恒能,2.91,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量31%)', '均线粘合(离散度0.53%)']"
000697,炼石航空,9.01,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量38%)', '均线粘合(离散度1.22%)']"
000727,冠捷科技,2.24,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量31%)', '均线粘合(离散度0.71%)']"
000751,锌业股份,4.63,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量24%)', '均线粘合(离散度2.86%)']"
000762,西藏矿业,21.86,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量25%)', '均线粘合(离散度2.38%)']"
000767,晋控电力,3.45,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量35%)', '均线粘合(离散度1.65%)']"
000777,中核科技,16.73,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度51%', '地量(均量26%)', '均线粘合(离散度1.23%)']"
000899,赣能股份,9.37,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量28%)', '均线粘合(离散度2.66%)']"
000919,金陵药业,6.46,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度46%', '地量(均量39%)', '均线粘合(离散度1.17%)']"
000960,锡业股份,33.6,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量29%)', '均线粘合(离散度2.75%)']"
000966,长源电力,4.06,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度41%', '地量(均量40%)', '均线粘合(离散度0.36%)']"
000968,蓝焰控股,6.94,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度50%', '地量(均量32%)', '均线粘合(离散度1.95%)']"
000969,安泰科技,17.26,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量35%)', '均线粘合(离散度1.79%)']"
000995,皇台酒业,10.84,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量27%)', '均线粘合(离散度2.48%)']"
001269,欧晶科技,18.83,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量35%)', '均线粘合(离散度1.13%)']"
001282,三联锻造,15.57,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量32%)', '均线粘合(离散度1.90%)']"
001382,新亚电缆,16.52,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度43%', '地量(均量39%)', '均线粘合(离散度0.74%)']"
001896,豫能控股,12.11,10,5,"['地量', '均线粘合', '形态收敛', '低点抬高', '低位']","['地量(均量51%)', '均线粘合(离散度4.18%)']"
002023,海特高新,9.49,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量34%)', '均线粘合(离散度2.79%)']"
002039,黔源电力,19.31,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度88%', '地量(均量40%)', '均线粘合(离散度0.21%)']"
002051,中工国际,8.86,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量37%)', '均线粘合(离散度1.63%)']"
002052,同洲电子,8.39,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度52%', '地量(均量31%)', '均线粘合(离散度1.19%)']"
002063,远光软件,5.35,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度51%', '地量(均量27%)', '均线粘合(离散度0.53%)']"
002096,易普力,9.16,10,5,"['地量', '均线粘合', '形态收敛', '低点抬高', '低位']","['筹码集中度58%', '地量(均量48%)', '均线粘合(离散度1.28%)']"
002112,三变科技,14.67,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量32%)', '均线粘合(离散度2.53%)']"
002153,石基信息,7.57,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度50%', '地量(均量37%)', '均线粘合(离散度1.34%)']"
002160,常铝股份,3.91,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量29%)', '均线粘合(离散度1.85%)']"
002176,江特电机,8.53,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量25%)', '均线粘合(离散度1.26%)']"
002182,宝武镁业,11.55,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量33%)', '均线粘合(离散度2.80%)']"
002183,怡亚通,4.3,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量34%)', '均线粘合(离散度1.99%)']"
002195,岩山科技,6.16,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量40%)', '均线粘合(离散度1.70%)']"
002230,科大讯飞,38.48,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度43%', '地量(均量36%)', '均线粘合(离散度1.82%)']"
002235,安妮股份,8.13,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量34%)', '均线粘合(离散度2.31%)']"
002245,蔚蓝锂芯,18.25,10,4,"['地量', '均线粘合', '形态收敛', '低点抬高']","['筹码集中度43%', '地量(均量45%)', '均线粘合(离散度0.65%)']"
002254,泰和新材,12.55,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量27%)', '均线粘合(离散度1.56%)']"
002255,海陆重工,7.68,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量33%)', '均线粘合(离散度2.92%)']"
002256,兆新股份,3.22,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量18%)', '均线粘合(离散度1.51%)']"
002270,华明装备,18.35,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量34%)', '均线粘合(离散度1.84%)']"
002302,西部建设,4.66,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度60%', '地量(均量36%)', '均线粘合(离散度1.05%)']"
002309,中利集团,2.98,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量30%)', '均线粘合(离散度0.52%)']"
002310,东方新能,2.3,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量34%)', '均线粘合(离散度0.72%)']"
002334,英威腾,6.56,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量27%)', '均线粘合(离散度0.75%)']"
002342,巨力索具,7.88,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['地量(均量24%)', '均线粘合(离散度2.20%)']"
002350,北京科锐,14.49,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度78%', '地量(均量30%)', '均线粘合(离散度0.31%)']"
002358,森源电气,5.36,10,4,"['地量', '均线粘合', '形态收敛', '低位']","['筹码集中度45%', '地量(均量35%)', '均线粘合(离散度0.66%)']"
